Classification Name,Classification Code,Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Albania,ALB,0.425,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Algeria,DZA,0.605,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Angola,AGO,0.972,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Anguilla,AIA,0.577,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Antigua and Barbuda,ATG,0.767,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Argentina,ARG,0.395,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Armenia,ARM,0.27,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Aruba,ABW,0.723,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Australia,AUS,0.333,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Austria,AUT,0.39,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Azerbaijan,AZE,0.288,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,"Bahamas, The",BHS,0.69,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bahrain,BHR,0.492,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Bangladesh,BGD,0.648,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Barbados,BRB,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Affordability of a healthy diet: ratio of cost to food expenditures,CoHD_fexp,Belarus,BLR,0.378,..,..,..,..
